date,max,avg,min
2025-01-01,100,92.0,87
2025-01-02,100,93.3,87
2025-01-03,100,88.3,65
2025-01-04,100,90.8,70
2025-01-05,100,87.0,72
2025-01-06,88,75.5,66
2025-01-07,87,77.3,66
2025-01-08,100,92.7,81
2025-01-09,100,88.6,70
2025-01-10,100,85.4,70
2025-01-11,100,91.3,75
2025-01-12,93,83.2,65
2025-01-13,93,71.2,53
2025-01-14,100,81.0,57
2025-01-15,100,94.5,86
2025-01-16,100,89.5,81
2025-01-17,100,96.1,87
2025-01-18,100,89.2,81
2025-01-19,100,91.4,81
2025-01-20,100,94.7,87
2025-01-21,100,98.2,93
2025-01-22,100,95.2,87
2025-01-23,100,84.7,76
2025-01-24,88,77.7,72
2025-01-25,100,84.2,67
2025-01-26,93,86.5,76
2025-01-27,94,79.9,67
2025-01-28,87,80.2,71
2025-01-29,100,89.4,76
2025-01-30,100,90.2,81
2025-01-31,100,91.0,66
